id,name,role,department,shift,salary,contact,specialty
7001,Staff1,Nurse,General,3,81614,976407515,
7002,Staff2,Tech,Neuro,3,38613,977876433,
7003,Staff3,Tech,General,0,47817,975594439,Specialist
7004,Staff4,Nurse,ICU,0,43540,974716937,
7005,Staff5,Surgeon,Ortho,0,71248,972404519,
7006,Staff6,Doctor,Cardiology,2,86578,971275865,Specialist
7007,Staff7,Admin,Neuro,1,43915,979947631,
7008,Staff8,Admin,Neuro,3,34327,977809200,
7009,Staff9,Nurse,Ortho,3,77148,978659635,Specialist
7010,Staff10,Doctor,Cardiology,1,70272,974596744,
7011,Staff11,Nurse,Neuro,1,48812,975251051,
7012,Staff12,Surgeon,ICU,2,60689,975911787,Specialist
7013,Staff13,Doctor,Cardiology,0,89374,974674851,
7014,Staff14,Nurse,General,3,31580,974637025,
7015,Staff15,Surgeon,General,1,60960,975948450,Specialist
7016,Staff16,Doctor,ICU,3,42690,973194865,
7017,Staff17,Nurse,Neuro,2,83605,975717889,
7018,Staff18,Nurse,ICU,3,41484,973427416,Specialist
7019,Staff19,Surgeon,ICU,0,34211,975654445,
7020,Staff20,Doctor,Ortho,3,76894,976184521,
7021,Staff21,Nurse,General,1,53752,976909019,Specialist
7022,Staff22,Surgeon,General,2,75618,972732860,
7023,Staff23,Admin,General,2,44820,972732134,
7024,Staff24,Surgeon,General,1,56644,979223243,Specialist
7025,Staff25,Nurse,Cardiology,0,30130,973904150,
7026,Staff26,Doctor,Ortho,1,75363,972001761,
7027,Staff27,Nurse,Ortho,2,45181,973570901,Specialist
7028,Staff28,Tech,ICU,0,89832,979299016,
7029,Staff29,Tech,General,3,43145,976566111,
7030,Staff30,Surgeon,ICU,3,66905,979649631,Specialist
