memberID,name,membershipType,enrollmentDate,className,timeSlot
M0001,Arjun,quarterly,2024-10-22,Cardio,18:30
M0002,Kushvendra,monthly,2025-12-07,Spin,06:00
M0003,Ishaan,annual,2023-09-23,Zumba,06:00
M0004,Saanvi,monthly,2024-01-28,Yoga,06:00
M0005,Sam,quarterly,2025-03-06,Spin,12:00
M0006,Varun,quarterly,2024-06-08,Yoga,08:00
M0007,Ananya,quarterly,2023-05-26,Yoga,07:00
M0008,Sneha,annual,2023-06-13,Cardio,18:30
M0009,Ishaan,monthly,2025-05-01,Pilates,18:30
M0010,Ishaan,annual,2024-06-28,Strength,06:00
M0011,Vivaan,annual,2023-06-09,Zumba,17:00
M0012,Aditya,monthly,2024-04-18,Strength,12:00
M0013,Saanvi,monthly,2024-05-24,Strength,18:30
M0014,Riya,quarterly,2025-04-30,Spin,06:00
M0015,Sam,monthly,2025-07-28,Spin,18:30
M0016,Neha,annual,2023-12-08,Zumba,17:00
M0017,Ayush,quarterly,2023-11-20,Strength,17:00
M0018,Rohit,annual,2024-10-07,Strength,08:00
M0019,Manthan,monthly,2025-05-31,Spin,08:00
M0020,Maya,monthly,2024-03-14,Cardio,17:00
M0021,Kavya,monthly,2025-07-15,Cardio,12:00
M0022,Aarav,quarterly,2024-08-05,Strength,06:00
M0023,Varun,monthly,2024-09-10,Yoga,08:00
M0024,Ananya,monthly,2024-10-06,Yoga,18:30
M0025,Kavya,annual,2025-11-13,Strength,17:00
M0026,Sam,monthly,2023-03-19,Cardio,08:00
M0027,Arjun,monthly,2025-01-21,Strength,07:00
M0028,Ananya,monthly,2024-09-07,Yoga,17:00
M0029,Ayush,quarterly,2024-03-21,Spin,06:00
M0030,Kushvendra,quarterly,2023-12-21,Cardio,18:30
M0031,Sam,annual,2023-07-15,Strength,18:30
M0032,Pranav,monthly,2025-02-20,Yoga,06:00
M0033,Kushvendra,monthly,2025-06-08,Cardio,06:00
M0034,Ananya,quarterly,2023-01-24,Spin,18:30
M0035,Ayush,monthly,2025-12-09,Yoga,08:00
M0036,Aditi,quarterly,2024-10-31,Strength,18:30
M0037,Ananya,monthly,2025-03-15,Cardio,17:00
M0038,Sam,quarterly,2024-03-30,Cardio,08:00
M0039,Ayush,monthly,2024-11-19,Yoga,12:00
M0040,Sam,quarterly,2025-03-28,Pilates,06:00
M0041,Ayush,quarterly,2023-09-25,Zumba,12:00
M0042,Aditi,monthly,2025-03-20,Spin,17:00
M0043,Saanvi,quarterly,2025-12-09,Zumba,07:00
M0044,Vivaan,monthly,2025-05-30,Pilates,18:30
M0045,Sam,monthly,2025-04-27,Cardio,08:00
M0046,Manthan,monthly,2024-12-06,Strength,18:30
M0047,Aarav,quarterly,2023-12-13,Pilates,17:00
M0048,Rohit,quarterly,2025-06-21,Yoga,07:00
M0049,Saanvi,quarterly,2023-11-16,Spin,06:00
M0050,Aditya,quarterly,2024-05-12,Strength,07:00
M0051,Pranav,monthly,2023-08-16,Pilates,12:00
M0052,Sneha,monthly,2024-03-04,Spin,17:00
M0053,Saanvi,monthly,2025-12-07,Pilates,17:00
M0054,Sneha,quarterly,2023-10-17,Spin,18:30
M0055,Aarav,monthly,2025-12-14,Yoga,08:00
M0056,Riya,monthly,2024-02-16,Spin,17:00
M0057,Kavya,monthly,2023-01-18,Yoga,12:00
M0058,Kavya,quarterly,2025-01-07,Yoga,06:00
M0059,Pranav,annual,2025-03-02,Zumba,12:00
M0060,Varun,annual,2023-07-23,Pilates,12:00
M0061,Maya,quarterly,2024-01-17,Zumba,17:00
M0062,Rohit,quarterly,2023-02-14,Yoga,07:00
M0063,Varun,monthly,2025-09-30,Cardio,18:30
M0064,Riya,monthly,2024-12-21,Pilates,18:30
M0065,Pranav,monthly,2025-10-23,Pilates,06:00
M0066,Kavya,annual,2023-03-02,Strength,08:00
M0067,Ananya,monthly,2025-03-15,Spin,07:00
M0068,Vivaan,quarterly,2025-12-02,Spin,17:00
M0069,Ananya,monthly,2023-11-09,Cardio,08:00
M0070,Maya,monthly,2023-09-27,Zumba,18:30
M0071,Arjun,quarterly,2024-02-19,Zumba,08:00
M0072,Varun,annual,2025-05-30,Zumba,18:30
M0073,Sam,annual,2024-10-12,Yoga,17:00
M0074,Aditi,annual,2023-08-31,Zumba,08:00
M0075,Arjun,quarterly,2024-10-14,Cardio,12:00
M0076,Pranav,monthly,2024-07-14,Zumba,07:00
M0077,Aditya,monthly,2023-02-23,Strength,17:00
M0078,Kavya,quarterly,2024-04-17,Strength,07:00
M0079,Ananya,quarterly,2025-01-05,Yoga,18:30
M0080,Sneha,monthly,2025-08-18,Spin,18:30
M0081,Manthan,monthly,2025-03-04,Cardio,12:00
M0082,Arjun,monthly,2024-04-08,Yoga,12:00
M0083,Aarav,annual,2025-04-25,Zumba,18:30
M0084,Saanvi,quarterly,2023-05-16,Zumba,12:00
M0085,Maya,monthly,2024-10-27,Cardio,07:00
M0086,Neha,monthly,2023-03-27,Strength,18:30
M0087,Ayush,quarterly,2025-03-18,Strength,18:30
M0088,Sam,quarterly,2025-12-11,Spin,18:30
M0089,Ishaan,quarterly,2025-07-13,Cardio,06:00
M0090,Ananya,quarterly,2025-03-21,Spin,06:00
M0091,Aditi,monthly,2023-04-11,Zumba,08:00
M0092,Rohit,monthly,2024-09-15,Pilates,12:00
M0093,Riya,monthly,2023-04-22,Spin,17:00
M0094,Arjun,monthly,2025-07-14,Yoga,18:30
M0095,Varun,monthly,2023-10-05,Cardio,12:00
M0096,Kushvendra,monthly,2024-01-02,Cardio,17:00
M0097,Saanvi,annual,2023-07-04,Pilates,08:00
