orderID,customerName,item,quantity,timestamp
O00001,Varun,Sandwich,2,2024-08-15 17:45
O00002,Sneha,Salad,4,2025-10-21 8:30
O00003,Aditya,Sandwich,3,2024-10-14 18:45
O00004,Ananya,Sandwich,1,2024-07-05 8:00
O00005,Ishaan,Sandwich,2,2024-10-19 22:30
O00006,Maya,Salad,4,2024-07-08 15:45
O00007,Manthan,Sandwich,3,2024-04-24 10:00
O00008,Aditi,Juice,3,2025-01-04 18:30
O00009,Ananya,Sandwich,2,2025-08-21 19:00
O00010,Aditya,Juice,1,2024-02-12 13:15
O00011,Rohit,Salad,1,2025-07-13 17:30
O00012,Sneha,Juice,2,2024-02-14 11:15
O00013,Neha,Protein_Bowl,3,2025-07-27 18:30
O00014,Rohit,Salad,4,2024-03-10 22:45
O00015,Varun,Protein_Bowl,1,2024-06-19 15:15
O00016,Pranav,Salad,1,2025-12-11 13:45
O00017,Sneha,Protein_Bowl,1,2024-06-18 21:45
O00018,Aditi,Smoothie,4,2025-09-13 15:15
O00019,Riya,Salad,2,2025-08-08 13:00
O00020,Varun,Smoothie,3,2024-11-06 14:30
O00021,Kavya,Protein_Bowl,1,2024-06-24 14:00
O00022,Aditi,Juice,3,2024-02-10 11:30
O00023,Arjun,Sandwich,1,2025-10-19 14:15
O00024,Aditi,Salad,1,2025-10-26 18:30
O00025,Kushvendra,Salad,3,2024-05-16 20:30
O00026,Kushvendra,Salad,1,2024-12-30 14:30
O00027,Riya,Sandwich,1,2025-07-04 10:45
O00028,Kavya,Protein_Bowl,2,2025-03-28 14:30
O00029,Kavya,Juice,4,2024-06-08 21:15
O00030,Neha,Sandwich,2,2025-05-05 9:45
O00031,Riya,Smoothie,2,2024-06-29 13:45
O00032,Riya,Sandwich,1,2024-11-13 12:15
O00033,Ayush,Protein_Bowl,2,2024-03-12 11:00
O00034,Neha,Juice,4,2025-10-22 19:00
O00035,Varun,Juice,1,2025-09-09 10:45
O00036,Ayush,Salad,1,2024-01-14 8:15
O00037,Ananya,Salad,3,2024-05-26 7:00
O00038,Aditya,Protein_Bowl,3,2025-12-25 9:15
O00039,Arjun,Smoothie,4,2024-06-16 16:30
O00040,Sneha,Juice,2,2024-02-27 15:00
O00041,Aarav,Salad,1,2025-07-11 16:00
O00042,Varun,Smoothie,2,2024-01-02 14:00
O00043,Ananya,Smoothie,4,2024-05-30 18:30
O00044,Ananya,Smoothie,1,2025-05-18 12:00
O00045,Ananya,Salad,3,2024-12-31 9:30
O00046,Aditya,Sandwich,1,2024-02-14 11:15
O00047,Neha,Protein_Bowl,3,2025-09-06 12:45
O00048,Arjun,Sandwich,3,2024-12-22 10:30
O00049,Sneha,Sandwich,3,2025-12-29 9:00
O00050,Arjun,Juice,3,2024-05-31 19:45
O00051,Sneha,Salad,1,2025-08-14 20:30
O00052,Arjun,Salad,3,2024-05-10 12:45
O00053,Manthan,Sandwich,4,2025-03-10 22:45
O00054,Maya,Sandwich,2,2025-10-31 14:45
O00055,Neha,Protein_Bowl,4,2025-07-05 22:15
O00056,Ayush,Salad,4,2025-06-23 14:00
O00057,Ananya,Sandwich,1,2024-07-27 7:30
O00058,Aditi,Smoothie,2,2024-04-22 8:30
O00059,Manthan,Juice,3,2025-04-16 11:45
O00060,Ananya,Juice,2,2024-02-27 11:00
O00061,Arjun,Smoothie,1,2025-12-13 20:30
O00062,Ishaan,Salad,1,2025-05-03 12:00
O00063,Arjun,Sandwich,2,2024-03-21 14:00
O00064,Aarav,Protein_Bowl,4,2024-06-02 12:45
O00065,Arjun,Protein_Bowl,3,2025-04-26 20:30
O00066,Rohit,Salad,3,2024-04-23 11:00
O00067,Ishaan,Protein_Bowl,2,2025-05-30 12:00
O00068,Ayush,Smoothie,4,2025-07-21 15:30
O00069,Ananya,Smoothie,2,2024-10-05 9:45
O00070,Arjun,Juice,4,2025-09-25 8:15
O00071,Ayush,Juice,1,2025-12-10 21:45
O00072,Kushvendra,Smoothie,4,2024-06-17 8:30
O00073,Neha,Juice,3,2024-04-21 10:00
O00074,Manthan,Protein_Bowl,3,2024-01-29 14:30
O00075,Riya,Protein_Bowl,1,2024-03-07 13:00
O00076,Pranav,Juice,2,2025-10-15 8:15
O00077,Kavya,Salad,1,2025-07-31 22:00
O00078,Ishaan,Sandwich,1,2024-11-12 7:30
O00079,Pranav,Smoothie,2,2024-11-18 19:30
O00080,Arjun,Salad,3,2025-02-21 10:15
O00081,Aarav,Protein_Bowl,4,2025-05-03 8:30
O00082,Riya,Juice,4,2024-03-21 9:15
O00083,Saanvi,Juice,2,2025-05-28 17:45
O00084,Arjun,Sandwich,3,2025-01-03 20:00
O00085,Ayush,Juice,2,2025-09-17 9:15
O00086,Sam,Smoothie,1,2024-01-16 11:30
O00087,Aditi,Salad,4,2024-04-06 21:30
O00088,Riya,Sandwich,2,2024-03-10 15:30
O00089,Manthan,Salad,1,2024-07-02 21:30
O00090,Sneha,Sandwich,4,2025-10-27 11:00
O00091,Sam,Smoothie,1,2025-01-07 16:45
O00092,Neha,Protein_Bowl,2,2025-03-27 18:30
O00093,Manthan,Salad,4,2025-06-02 21:30
O00094,Ishaan,Protein_Bowl,1,2024-09-07 7:15
O00095,Aditya,Sandwich,4,2024-06-11 19:00
O00096,Ananya,Smoothie,4,2025-11-16 9:30
O00097,Rohit,Smoothie,4,2024-04-21 9:15
O00098,Aditya,Smoothie,4,2024-07-23 19:30
O00099,Vivaan,Sandwich,3,2025-09-10 22:15
O00100,Sneha,Salad,3,2025-04-10 8:15
O00101,Sneha,Juice,2,2024-11-23 8:45
O00102,Ishaan,Sandwich,4,2025-04-29 13:00
O00103,Saanvi,Salad,4,2024-10-03 15:15
O00104,Vivaan,Juice,1,2024-10-07 19:00
O00105,Pranav,Smoothie,4,2025-06-21 13:30
O00106,Riya,Salad,1,2025-03-14 17:30
O00107,Riya,Juice,3,2025-03-05 22:45
O00108,Aditi,Juice,4,2024-12-29 19:00
O00109,Aditi,Protein_Bowl,2,2024-03-20 11:30
O00110,Kushvendra,Salad,2,2025-04-14 11:45
O00111,Kushvendra,Salad,4,2024-09-26 7:45
O00112,Arjun,Smoothie,1,2024-02-07 13:15
O00113,Neha,Protein_Bowl,2,2025-09-07 19:15
O00114,Manthan,Juice,2,2025-11-26 7:30
O00115,Manthan,Salad,3,2024-11-10 10:45
O00116,Rohit,Smoothie,4,2024-12-26 18:45
O00117,Varun,Sandwich,1,2024-06-29 21:45
O00118,Manthan,Juice,2,2025-07-09 20:45
O00119,Pranav,Smoothie,3,2025-12-19 10:00
O00120,Aditya,Salad,1,2025-09-23 20:00
O00121,Sneha,Protein_Bowl,1,2025-10-10 21:00
O00122,Pranav,Smoothie,2,2024-08-16 21:45
O00123,Aditya,Juice,4,2024-05-07 18:45
O00124,Neha,Smoothie,1,2025-01-18 14:30
O00125,Kavya,Sandwich,3,2025-02-28 14:00
O00126,Neha,Salad,1,2024-01-27 11:30
O00127,Varun,Protein_Bowl,3,2024-12-09 12:45
O00128,Ananya,Protein_Bowl,4,2024-07-16 19:00
O00129,Sam,Smoothie,2,2025-10-13 19:15
O00130,Ayush,Sandwich,2,2025-03-23 14:00
O00131,Arjun,Protein_Bowl,1,2025-10-08 19:30
O00132,Aditi,Juice,3,2024-07-27 9:00
O00133,Aarav,Smoothie,1,2025-10-05 11:00
O00134,Maya,Protein_Bowl,1,2025-08-08 19:00
O00135,Arjun,Smoothie,3,2024-07-10 14:15
O00136,Pranav,Juice,2,2025-01-22 15:00
O00137,Kavya,Salad,2,2025-10-04 7:00
O00138,Aditya,Smoothie,1,2024-04-19 11:30
O00139,Kavya,Juice,1,2024-03-20 22:30
O00140,Saanvi,Smoothie,1,2025-05-17 7:45
O00141,Vivaan,Smoothie,1,2024-08-03 20:45
O00142,Kushvendra,Smoothie,2,2024-07-03 16:00
O00143,Riya,Protein_Bowl,1,2024-04-30 17:30
O00144,Sneha,Protein_Bowl,1,2024-06-11 15:00
O00145,Saanvi,Protein_Bowl,1,2025-07-02 7:15
O00146,Saanvi,Sandwich,1,2024-08-10 7:30
O00147,Arjun,Juice,1,2025-12-09 11:30
O00148,Kavya,Smoothie,2,2024-04-04 18:30
O00149,Rohit,Smoothie,4,2025-06-08 19:15
O00150,Kavya,Juice,2,2025-12-04 15:45
O00151,Aditya,Protein_Bowl,3,2024-06-18 13:45
O00152,Neha,Smoothie,4,2025-09-02 15:30
O00153,Maya,Salad,4,2025-03-15 13:30
O00154,Manthan,Salad,4,2024-06-20 8:30
O00155,Sam,Smoothie,3,2025-09-10 18:45
O00156,Aarav,Salad,2,2024-11-26 20:15
O00157,Manthan,Juice,1,2024-08-08 18:30
O00158,Arjun,Sandwich,1,2024-01-10 17:00
O00159,Kushvendra,Juice,4,2025-08-04 17:15
O00160,Aditi,Salad,4,2024-10-17 13:15
O00161,Aditya,Protein_Bowl,3,2025-09-14 9:45
O00162,Neha,Sandwich,3,2024-07-21 13:00
O00163,Sneha,Smoothie,1,2024-10-08 20:00
O00164,Aditya,Smoothie,2,2025-09-07 17:45
O00165,Ananya,Protein_Bowl,1,2024-10-18 7:00
O00166,Rohit,Sandwich,2,2025-02-16 8:00
O00167,Kushvendra,Salad,1,2025-04-26 10:45
O00168,Pranav,Sandwich,3,2024-12-20 19:00
O00169,Aditi,Sandwich,4,2025-09-19 8:45
O00170,Pranav,Smoothie,4,2025-10-18 10:30
O00171,Maya,Salad,1,2024-08-17 8:00
O00172,Arjun,Salad,3,2025-12-05 20:15
O00173,Riya,Salad,2,2025-01-12 7:00
O00174,Kavya,Salad,1,2024-02-19 16:00
O00175,Kavya,Sandwich,4,2024-10-03 12:15
O00176,Sam,Smoothie,1,2024-05-09 17:15
O00177,Sam,Smoothie,4,2025-11-15 10:15
O00178,Sam,Smoothie,4,2024-10-14 17:45
O00179,Ananya,Salad,3,2024-10-30 9:30
O00180,Aditi,Juice,2,2025-12-12 9:00
