vehicleNo,ownerName,batteryCapacity,currentCharge,arrivalTime,priority
MH81V001,Kushvendra,60,9,2025-11-14 22:30,3
MH32H002,Aarav,48,30,2024-10-05 16:30,2
MH93M003,Ishaan,60,19,2024-09-20 9:15,2
MH29H004,Rohit,36,6,2025-12-15 23:30,2
MH52N005,Sam,40,19,2024-03-24 13:15,2
MH85C006,Kushvendra,24,13,2025-02-19 19:15,2
MH4K007,Manthan,24,9,2024-08-29 21:45,3
MH51S008,Saanvi,48,27,2024-08-28 15:15,2
MH22K009,Riya,60,20,2025-08-30 18:00,2
MH11Z010,Aarav,36,34,2025-03-14 21:00,3
MH90U011,Arjun,24,0,2025-04-27 11:00,2
MH47V012,Manthan,75,73,2024-03-30 7:15,3
MH43D013,Ishaan,60,5,2024-02-10 6:15,3
MH51P014,Aditya,40,37,2024-10-25 22:00,3
MH37E015,Vivaan,48,38,2024-09-23 11:00,2
MH29W016,Pranav,24,12,2024-12-12 11:45,3
MH46Q017,Pranav,40,25,2025-03-04 13:30,2
MH27H018,Rohit,36,9,2024-02-07 8:00,2
MH16E019,Aditya,48,8,2024-06-01 8:30,3
MH89K020,Sam,36,30,2025-03-21 19:00,3
MH86V021,Aditi,75,38,2025-12-27 12:45,2
MH47F022,Ayush,36,22,2024-03-08 7:00,3
MH33M023,Riya,48,29,2025-11-05 18:30,2
MH42X024,Neha,75,40,2025-08-03 11:00,3
MH22I025,Neha,24,15,2024-12-08 10:00,3
MH31Q026,Maya,48,17,2024-07-26 11:45,1
MH2U027,Manthan,75,43,2025-09-21 17:30,1
MH62Y028,Varun,36,13,2024-05-31 16:30,2
MH68S029,Maya,60,12,2025-03-21 7:45,3
MH76R030,Pranav,60,48,2025-04-12 7:30,2
MH53S031,Vivaan,48,26,2025-04-19 13:30,3
MH29O032,Kavya,40,2,2024-08-22 14:45,2
MH68H033,Ishaan,36,28,2024-09-01 18:00,2
MH10Z034,Kavya,60,52,2025-07-13 19:00,2
MH94Z035,Pranav,60,42,2024-02-22 21:15,2
MH71J036,Aditya,36,24,2025-07-28 16:15,2
MH26A037,Neha,24,10,2025-10-24 13:45,1
MH17X038,Kavya,36,18,2025-11-18 14:45,2
MH55G039,Riya,40,6,2024-10-22 15:00,2
MH20D040,Aarav,36,4,2024-10-03 11:00,3
MH44D041,Varun,60,29,2025-06-07 9:45,2
MH36Z042,Vivaan,40,5,2024-12-27 11:45,3
MH70I043,Aarav,60,51,2024-03-29 8:15,2
MH21Q044,Aditi,36,30,2025-10-08 17:00,2
MH50Z045,Neha,24,16,2025-02-16 12:15,2
MH82P046,Sam,75,8,2024-08-20 21:45,2
MH83L047,Saanvi,24,1,2025-04-08 12:00,2
MH3V048,Manthan,75,43,2025-03-01 6:30,3
MH11E049,Aditya,60,33,2025-07-28 9:15,2
MH71R050,Kushvendra,24,19,2024-02-03 16:15,2
MH55J051,Ishaan,24,1,2024-11-03 10:30,3
MH20I052,Kushvendra,48,4,2025-06-27 17:00,2
MH95J053,Neha,24,0,2024-10-18 16:15,2
MH18Q054,Maya,60,54,2024-04-12 17:00,2
MH34Y055,Kushvendra,40,7,2024-07-06 12:00,2
MH36J056,Aditi,60,58,2024-03-22 23:30,3
MH85J057,Aditya,48,2,2024-11-15 19:00,2
MH35X058,Ishaan,36,4,2024-04-06 6:00,3
MH6P059,Manthan,48,34,2024-04-19 14:15,2
MH72Z060,Ananya,24,10,2024-06-21 11:00,2
MH3P061,Saanvi,75,16,2024-06-22 22:15,3
MH1V062,Varun,40,36,2024-07-11 21:15,2
MH28T063,Ayush,36,33,2024-10-26 17:15,2
MH76N064,Sam,40,17,2024-09-12 9:45,2
MH78P065,Aarav,24,12,2025-08-27 12:30,2
MH74F066,Sam,24,21,2024-09-11 10:00,2
MH32X067,Ishaan,75,9,2025-12-01 18:15,3
MH36D068,Sam,24,20,2024-08-03 9:00,2
MH44G069,Rohit,36,9,2025-10-25 9:30,2
MH53M070,Varun,75,35,2025-03-30 12:15,2
MH46G071,Ananya,48,31,2024-10-07 19:00,2
MH56O072,Riya,24,1,2025-04-14 22:30,2
MH15J073,Arjun,40,17,2024-06-30 19:00,2
MH98Q074,Vivaan,60,29,2024-12-22 15:15,2
MH89I075,Sneha,48,17,2024-06-13 21:15,2
MH18A076,Ananya,75,62,2025-01-28 13:15,2
MH93L077,Varun,40,6,2024-10-05 22:30,2
MH3C078,Sam,24,7,2024-10-16 14:15,3
MH86R079,Maya,60,51,2025-06-26 11:45,3
MH1E080,Aarav,40,35,2025-03-05 16:00,2
MH24D081,Pranav,75,54,2024-09-14 14:15,2
MH86T082,Sam,60,22,2024-04-08 18:45,2
MH32K083,Ishaan,40,22,2025-04-27 13:30,2
MH56R084,Aarav,75,9,2024-04-15 10:15,2
MH6G085,Rohit,48,34,2024-03-15 9:45,2
MH29X086,Saanvi,36,23,2024-04-09 7:30,1
MH76N087,Aditya,40,37,2025-04-05 12:00,2
MH31T088,Aditya,24,8,2025-09-04 23:15,1
MH89I089,Aditi,36,0,2025-05-16 12:45,3
MH13C090,Varun,60,14,2025-08-12 14:00,2
MH45L091,Rohit,60,44,2024-06-17 6:00,3
MH74A092,Kavya,36,11,2024-06-09 13:00,2
MH26G093,Saanvi,36,18,2025-04-16 7:45,2
MH18B094,Aditya,75,26,2025-01-10 15:45,2
MH9F095,Sneha,48,0,2024-06-24 17:00,2
MH88N096,Aditya,24,5,2024-08-04 8:15,2
MH56H097,Riya,40,33,2025-12-31 23:30,3
MH21T098,Aditi,75,72,2024-08-08 20:45,2
MH57I099,Kushvendra,40,38,2024-08-07 6:15,2
MH49Y100,Aditi,48,5,2025-08-18 9:15,3
MH30X101,Aditi,24,17,2025-05-05 18:15,2
MH24R102,Ananya,36,15,2024-02-21 22:00,2
MH71C103,Kushvendra,60,34,2024-04-05 14:30,2
MH18F104,Ishaan,48,31,2024-07-29 10:15,2
MH12Q105,Arjun,60,28,2024-03-14 19:00,2
MH42O106,Riya,75,35,2024-12-11 6:00,3
MH4Y107,Aarav,75,3,2024-03-26 16:15,3
MH82S108,Vivaan,24,22,2024-07-13 21:00,2
MH69U109,Manthan,24,20,2025-09-11 6:15,3
MH41M110,Aditya,60,41,2024-10-23 15:30,2
MH70E111,Maya,75,73,2025-07-06 21:30,2
MH99C112,Arjun,36,18,2025-05-28 7:30,2
MH6Q113,Neha,48,1,2024-02-15 7:00,2
MH32M114,Manthan,75,43,2024-03-31 17:30,2
MH52M115,Sam,24,7,2025-02-26 10:30,2
MH42L116,Ishaan,40,19,2024-06-23 18:00,2
MH6U117,Sneha,24,13,2024-07-31 13:45,2
MH79R118,Rohit,60,22,2024-01-18 22:15,2
MH8I119,Ishaan,24,12,2024-09-15 22:00,3
MH68X120,Aarav,40,16,2025-10-21 11:45,2
MH32Q121,Saanvi,48,45,2024-07-11 22:00,2
MH32E122,Vivaan,36,25,2025-09-25 15:15,2
MH83V123,Pranav,48,19,2024-06-11 6:15,3
MH97W124,Arjun,40,33,2025-03-17 12:00,2
MH33C125,Rohit,24,12,2024-10-25 18:15,2
MH97L126,Pranav,24,5,2025-02-16 13:30,2
MH88F127,Pranav,36,1,2025-11-15 8:45,2
MH53Z128,Kavya,40,32,2025-08-12 22:00,3
MH94D129,Manthan,36,35,2025-12-15 22:15,3
MH36K130,Arjun,48,39,2025-12-14 7:30,1
MH88U131,Ishaan,40,15,2024-07-28 12:15,3
MH46G132,Varun,40,37,2024-11-18 9:45,2
MH19Z133,Aditya,24,3,2025-12-29 20:45,2
MH16R134,Ishaan,60,12,2024-09-03 8:15,2
MH18M135,Kushvendra,36,2,2025-02-20 7:00,3
MH97T136,Varun,48,20,2025-02-02 9:45,3
MH53Y137,Aditi,75,67,2024-01-09 6:15,2
MH4Z138,Aarav,60,6,2024-12-08 19:00,2
MH77Q139,Aarav,36,24,2024-12-07 21:45,2
MH37T140,Aditya,75,53,2024-01-04 12:45,2
MH45E141,Ishaan,24,9,2025-09-10 8:00,3
MH82Y142,Sam,40,6,2025-07-06 15:15,2
MH68P143,Kushvendra,24,18,2024-05-22 19:15,2
MH93F144,Saanvi,60,38,2025-06-01 10:00,2
MH36K145,Kushvendra,48,4,2024-04-04 14:00,2
MH94J146,Arjun,60,34,2025-02-21 7:30,2
MH44H147,Sneha,48,27,2025-03-21 7:00,2
MH17N148,Aarav,24,6,2024-02-26 22:15,2
MH51T149,Vivaan,24,12,2024-06-06 20:00,2
MH96G150,Aditya,36,13,2024-09-17 16:30,2
MH56Q151,Aditi,36,27,2025-08-08 9:45,2
MH63N152,Aditi,75,18,2025-09-28 12:30,2
MH6D153,Ananya,40,35,2024-01-06 22:45,3
MH44J154,Ananya,48,42,2025-07-17 22:15,2
MH28H155,Manthan,60,46,2024-05-07 7:00,2
MH58W156,Aarav,60,52,2024-02-18 22:30,3
MH75W157,Vivaan,40,18,2025-08-10 11:00,2
MH58I158,Sam,36,25,2025-09-04 19:45,3
MH85J159,Aditi,75,58,2024-04-01 22:30,2
MH47S160,Ayush,75,72,2024-09-11 10:30,2
MH38A161,Varun,40,36,2025-09-25 12:15,3
MH14F162,Ananya,40,9,2025-03-16 18:00,2
MH90A163,Aditi,48,9,2025-02-11 9:45,3
MH4U164,Rohit,36,13,2024-11-12 23:15,2
MH29K165,Maya,40,15,2025-06-16 10:00,3
MH37A166,Manthan,48,42,2024-04-30 10:45,2
MH71Z167,Arjun,48,37,2025-01-02 23:15,2
MH35C168,Aditi,48,36,2025-01-22 17:45,2
MH28A169,Aditi,48,27,2024-04-10 10:15,3
MH41S170,Kushvendra,24,8,2024-07-15 14:45,2
MH31S171,Pranav,60,17,2025-10-03 7:00,3
MH22P172,Ananya,24,0,2025-11-14 22:45,2
MH50C173,Ishaan,24,12,2025-05-30 12:00,2
MH25T174,Kushvendra,24,1,2024-03-08 18:00,2
MH36C175,Pranav,75,9,2024-11-25 7:45,2
MH23U176,Varun,36,28,2025-10-19 19:15,2
MH48H177,Kavya,40,1,2025-05-22 20:45,2
MH51F178,Ishaan,75,57,2024-05-23 18:45,2
MH77E179,Manthan,24,17,2024-04-04 21:45,3
MH7F180,Sam,75,8,2024-09-26 6:45,3
MH87R181,Kavya,24,6,2024-07-22 12:45,2
MH17K182,Manthan,75,21,2024-07-26 17:45,2
MH70C183,Rohit,24,6,2024-06-17 9:00,2
MH1M184,Aditya,36,27,2024-08-31 22:30,2
MH64R185,Sam,40,24,2024-05-04 12:15,2
MH86R186,Pranav,40,16,2025-08-29 7:15,3
MH42B187,Arjun,48,18,2025-06-06 7:00,2
MH37B188,Ananya,48,13,2025-11-29 14:00,2
MH69D189,Arjun,48,47,2025-05-26 22:15,3
MH10A190,Riya,75,11,2025-05-18 23:15,2
MH25I191,Varun,48,10,2025-08-09 23:30,2
MH63Z192,Maya,48,14,2025-03-12 13:15,3
MH66F193,Aditi,75,40,2025-02-22 6:30,2
MH97O194,Aarav,48,44,2025-08-25 23:45,2
MH16O195,Sneha,75,7,2025-02-16 21:15,3
