jobID,customerName,deviceType,issue,submissionDate
J00001,Varun,Smartwatch,Battery,2023-12-06
J00002,Neha,Desktop,Charging_Port,2023-09-21
J00003,Aarav,Smartwatch,Motherboard,2025-03-26
J00004,Vivaan,Smartwatch,Charging_Port,2025-04-15
J00005,Riya,Mobile,Keyboard,2025-02-11
J00006,Maya,Desktop,Charging_Port,2023-11-13
J00007,Sam,Desktop,Camera,2024-05-22
J00008,Saanvi,Tablet,Camera,2025-09-04
J00009,Ayush,Desktop,Charging_Port,2025-08-08
J00010,Sneha,Smartwatch,Charging_Port,2024-01-19
J00011,Manthan,Smartwatch,Screen,2024-09-08
J00012,Aditya,Mobile,Keyboard,2025-12-11
J00013,Riya,Laptop,Charging_Port,2024-05-30
J00014,Maya,Mobile,Screen,2024-11-01
J00015,Saanvi,Desktop,Charging_Port,2024-01-24
J00016,Maya,Laptop,Battery,2023-09-16
J00017,Ayush,Laptop,Screen,2023-01-10
J00018,Vivaan,Tablet,Keyboard,2023-04-12
J00019,Rohit,Smartwatch,Battery,2023-05-18
J00020,Pranav,Mobile,Camera,2023-03-11
J00021,Pranav,Desktop,Screen,2024-03-21
J00022,Pranav,Laptop,Screen,2024-02-23
J00023,Varun,Desktop,Motherboard,2024-10-20
J00024,Arjun,Desktop,Motherboard,2023-09-29
J00025,Ishaan,Desktop,Charging_Port,2025-06-09
J00026,Kushvendra,Smartwatch,Keyboard,2023-11-24
J00027,Arjun,Tablet,Screen,2024-11-05
J00028,Maya,Mobile,Screen,2025-11-28
J00029,Riya,Mobile,Keyboard,2024-04-20
J00030,Aarav,Desktop,Motherboard,2025-05-23
J00031,Neha,Desktop,Camera,2023-07-29
J00032,Maya,Tablet,Charging_Port,2025-03-31
J00033,Arjun,Desktop,Camera,2023-03-11
J00034,Manthan,Smartwatch,Charging_Port,2023-09-27
J00035,Aarav,Laptop,Motherboard,2025-01-16
J00036,Ananya,Laptop,Motherboard,2025-04-16
J00037,Neha,Laptop,Charging_Port,2025-05-31
J00038,Sam,Tablet,Motherboard,2023-11-10
J00039,Pranav,Laptop,Keyboard,2024-05-22
J00040,Pranav,Smartwatch,Keyboard,2023-09-04
J00041,Riya,Tablet,Battery,2023-05-29
