orderID,customerName,itemID,fitnessGoal
F00001,Sneha,I005,muscle_gain
F00002,Sam,I004,maintenance
F00003,Kavya,I003,muscle_gain
F00004,Maya,I003,maintenance
F00005,Maya,I003,muscle_gain
F00006,Varun,I001,weight_loss
F00007,Rohit,I002,maintenance
F00008,Aditya,I004,maintenance
F00009,Pranav,I002,muscle_gain
F00010,Aditya,I005,weight_loss
F00011,Arjun,I002,maintenance
F00012,Kavya,I001,weight_loss
F00013,Saanvi,I005,weight_loss
F00014,Ayush,I002,muscle_gain
F00015,Ayush,I001,muscle_gain
F00016,Neha,I003,maintenance
F00017,Aarav,I003,weight_loss
F00018,Kavya,I004,muscle_gain
F00019,Manthan,I001,weight_loss
F00020,Riya,I005,muscle_gain
F00021,Ananya,I005,weight_loss
F00022,Aditya,I001,muscle_gain
F00023,Aarav,I002,maintenance
F00024,Arjun,I005,maintenance
F00025,Maya,I002,weight_loss
F00026,Sneha,I003,maintenance
F00027,Kushvendra,I005,muscle_gain
F00028,Riya,I005,maintenance
F00029,Arjun,I004,muscle_gain
F00030,Sneha,I004,muscle_gain
F00031,Riya,I002,maintenance
F00032,Saanvi,I003,maintenance
F00033,Kavya,I002,weight_loss
F00034,Rohit,I002,maintenance
F00035,Arjun,I004,maintenance
F00036,Saanvi,I005,muscle_gain
F00037,Sam,I002,weight_loss
F00038,Manthan,I001,weight_loss
F00039,Aarav,I002,muscle_gain
F00040,Aarav,I004,muscle_gain
F00041,Riya,I001,muscle_gain
F00042,Saanvi,I003,maintenance
F00043,Varun,I004,maintenance
F00044,Ayush,I003,weight_loss
F00045,Sneha,I001,muscle_gain
F00046,Manthan,I004,weight_loss
F00047,Aditya,I001,muscle_gain
F00048,Riya,I001,maintenance
F00049,Sam,I005,weight_loss
F00050,Vivaan,I005,muscle_gain
F00051,Ananya,I001,maintenance
F00052,Sam,I003,weight_loss
F00053,Sneha,I005,weight_loss
F00054,Ananya,I004,muscle_gain
F00055,Ananya,I001,weight_loss
F00056,Maya,I004,weight_loss
F00057,Kavya,I001,maintenance
F00058,Pranav,I005,muscle_gain
F00059,Ishaan,I002,maintenance
F00060,Rohit,I003,maintenance
F00061,Aarav,I005,weight_loss
F00062,Neha,I005,maintenance
F00063,Aarav,I001,maintenance
F00064,Ishaan,I004,weight_loss
F00065,Riya,I001,maintenance
F00066,Sneha,I001,weight_loss
F00067,Aditya,I005,maintenance
F00068,Kavya,I003,weight_loss
F00069,Ananya,I005,maintenance
F00070,Kushvendra,I005,muscle_gain
F00071,Ishaan,I002,weight_loss
F00072,Saanvi,I001,muscle_gain
F00073,Maya,I005,maintenance
F00074,Rohit,I003,weight_loss
F00075,Rohit,I003,muscle_gain
F00076,Maya,I001,weight_loss
F00077,Riya,I002,weight_loss
F00078,Aditi,I005,maintenance
F00079,Ishaan,I004,weight_loss
F00080,Maya,I003,weight_loss
F00081,Rohit,I003,weight_loss
F00082,Riya,I003,weight_loss
F00083,Ananya,I001,weight_loss
F00084,Rohit,I005,maintenance
F00085,Aditi,I004,muscle_gain
F00086,Manthan,I005,maintenance
F00087,Sneha,I003,muscle_gain
F00088,Aditi,I003,weight_loss
F00089,Sam,I003,maintenance
F00090,Aditya,I003,muscle_gain
F00091,Ishaan,I003,maintenance
F00092,Rohit,I002,weight_loss
F00093,Ayush,I004,maintenance
F00094,Pranav,I004,weight_loss
F00095,Rohit,I002,maintenance
F00096,Neha,I003,weight_loss
F00097,Aditi,I001,muscle_gain
F00098,Arjun,I001,muscle_gain
F00099,Ananya,I005,muscle_gain
F00100,Kushvendra,I001,maintenance
F00101,Kavya,I004,weight_loss
F00102,Aditya,I004,muscle_gain
F00103,Kavya,I002,muscle_gain
F00104,Maya,I002,maintenance
F00105,Pranav,I001,muscle_gain
F00106,Ayush,I004,muscle_gain
F00107,Ishaan,I004,maintenance
F00108,Aditi,I004,maintenance
F00109,Varun,I003,maintenance
F00110,Kushvendra,I004,muscle_gain
F00111,Maya,I001,weight_loss
F00112,Ishaan,I004,maintenance
F00113,Neha,I004,maintenance
F00114,Arjun,I004,muscle_gain
F00115,Vivaan,I005,muscle_gain
F00116,Maya,I002,maintenance
F00117,Sam,I004,maintenance
F00118,Maya,I003,weight_loss
F00119,Rohit,I004,weight_loss
F00120,Vivaan,I002,muscle_gain
F00121,Sam,I002,weight_loss
F00122,Neha,I003,muscle_gain
F00123,Maya,I005,weight_loss
F00124,Kavya,I002,muscle_gain
F00125,Aditi,I001,muscle_gain
F00126,Rohit,I001,muscle_gain
F00127,Ishaan,I004,maintenance
F00128,Sam,I002,muscle_gain
F00129,Manthan,I001,maintenance
F00130,Rohit,I003,muscle_gain
F00131,Sam,I002,muscle_gain
F00132,Sam,I002,weight_loss
F00133,Ananya,I002,muscle_gain
F00134,Saanvi,I003,muscle_gain
F00135,Aditya,I002,muscle_gain
F00136,Ayush,I004,weight_loss
F00137,Vivaan,I002,weight_loss
F00138,Aarav,I001,maintenance
F00139,Kushvendra,I004,maintenance
F00140,Varun,I005,muscle_gain
F00141,Sam,I001,muscle_gain
F00142,Ananya,I002,maintenance
F00143,Pranav,I002,muscle_gain
F00144,Ayush,I004,weight_loss
F00145,Aarav,I005,maintenance
F00146,Aarav,I003,muscle_gain
F00147,Aditi,I002,muscle_gain
F00148,Maya,I001,maintenance
F00149,Saanvi,I001,weight_loss
F00150,Kavya,I001,weight_loss
F00151,Ayush,I003,maintenance
F00152,Saanvi,I002,maintenance
F00153,Varun,I003,muscle_gain
F00154,Aditi,I003,maintenance
F00155,Maya,I004,maintenance
F00156,Rohit,I001,maintenance
F00157,Sneha,I001,muscle_gain
F00158,Ishaan,I001,muscle_gain
F00159,Kavya,I004,weight_loss
F00160,Kavya,I002,weight_loss
F00161,Rohit,I001,weight_loss
F00162,Kavya,I005,weight_loss
F00163,Sneha,I003,muscle_gain
F00164,Saanvi,I004,maintenance
F00165,Rohit,I001,maintenance
F00166,Ayush,I002,maintenance
F00167,Rohit,I004,weight_loss
F00168,Vivaan,I003,muscle_gain
F00169,Sneha,I003,weight_loss
F00170,Kushvendra,I003,muscle_gain
F00171,Varun,I004,muscle_gain
F00172,Aditya,I005,weight_loss
F00173,Pranav,I005,maintenance
F00174,Sneha,I003,weight_loss
F00175,Kavya,I002,muscle_gain
F00176,Varun,I003,weight_loss
F00177,Vivaan,I003,weight_loss
F00178,Maya,I005,maintenance
F00179,Sneha,I002,muscle_gain
F00180,Saanvi,I003,maintenance
F00181,Sam,I002,weight_loss
F00182,Riya,I002,weight_loss
F00183,Ananya,I005,maintenance
F00184,Varun,I002,weight_loss
F00185,Kushvendra,I005,weight_loss
F00186,Aarav,I004,maintenance
F00187,Aditya,I002,weight_loss
F00188,Aarav,I003,maintenance
F00189,Kavya,I005,muscle_gain
F00190,Manthan,I004,muscle_gain
F00191,Sneha,I001,muscle_gain
F00192,Kavya,I001,maintenance
F00193,Rohit,I004,muscle_gain
F00194,Aarav,I003,muscle_gain
F00195,Neha,I005,maintenance
F00196,Ananya,I005,weight_loss
F00197,Aditya,I004,maintenance
F00198,Pranav,I003,muscle_gain
F00199,Ayush,I004,maintenance
F00200,Rohit,I004,muscle_gain
F00201,Sneha,I004,muscle_gain
F00202,Ayush,I003,muscle_gain
F00203,Ayush,I001,maintenance
F00204,Manthan,I002,weight_loss
F00205,Varun,I003,maintenance
F00206,Arjun,I005,muscle_gain
F00207,Pranav,I003,muscle_gain
F00208,Riya,I001,muscle_gain
F00209,Manthan,I001,muscle_gain
F00210,Sam,I005,maintenance
F00211,Varun,I004,maintenance
F00212,Arjun,I005,maintenance
F00213,Varun,I004,weight_loss
F00214,Rohit,I003,muscle_gain
F00215,Kavya,I002,weight_loss
F00216,Aarav,I004,weight_loss
F00217,Aditi,I003,maintenance
F00218,Ishaan,I004,maintenance
F00219,Riya,I005,maintenance
F00220,Rohit,I002,maintenance
F00221,Varun,I004,maintenance
F00222,Kavya,I001,weight_loss
F00223,Ayush,I004,weight_loss
F00224,Pranav,I004,muscle_gain
F00225,Saanvi,I005,weight_loss
F00226,Ananya,I002,weight_loss
F00227,Kavya,I002,weight_loss
F00228,Saanvi,I001,maintenance
F00229,Saanvi,I005,weight_loss
F00230,Ananya,I001,weight_loss
F00231,Aditya,I001,maintenance
F00232,Kavya,I001,muscle_gain
F00233,Manthan,I003,maintenance
F00234,Aditi,I003,muscle_gain
F00235,Varun,I004,muscle_gain
F00236,Manthan,I002,maintenance
F00237,Pranav,I003,weight_loss
F00238,Sam,I004,weight_loss
F00239,Kushvendra,I001,muscle_gain
F00240,Saanvi,I004,maintenance
F00241,Rohit,I003,muscle_gain
F00242,Rohit,I005,weight_loss
F00243,Kushvendra,I001,muscle_gain
F00244,Sam,I005,weight_loss
F00245,Varun,I004,maintenance
F00246,Vivaan,I002,muscle_gain
F00247,Manthan,I004,muscle_gain
F00248,Maya,I004,weight_loss
F00249,Saanvi,I005,maintenance
F00250,Sam,I003,maintenance
F00251,Aditi,I004,maintenance
F00252,Kavya,I001,muscle_gain
F00253,Aditi,I002,muscle_gain
F00254,Ayush,I001,maintenance
F00255,Aditya,I005,maintenance
F00256,Sam,I001,maintenance
F00257,Neha,I002,muscle_gain
F00258,Neha,I005,muscle_gain
F00259,Sneha,I004,maintenance
F00260,Riya,I005,weight_loss
F00261,Ayush,I005,muscle_gain
F00262,Arjun,I004,maintenance
F00263,Manthan,I001,muscle_gain
F00264,Sam,I004,weight_loss
F00265,Neha,I004,maintenance
F00266,Maya,I001,weight_loss
F00267,Aarav,I002,maintenance
F00268,Sneha,I001,maintenance
F00269,Ishaan,I005,muscle_gain
F00270,Arjun,I001,weight_loss
F00271,Aditi,I004,weight_loss
F00272,Aditya,I002,weight_loss
F00273,Manthan,I001,maintenance
F00274,Ishaan,I003,muscle_gain
F00275,Ayush,I002,muscle_gain
F00276,Kavya,I004,maintenance
F00277,Riya,I002,weight_loss
F00278,Aditya,I004,muscle_gain
F00279,Neha,I004,weight_loss
F00280,Ananya,I005,weight_loss
F00281,Manthan,I001,maintenance
F00282,Arjun,I003,weight_loss
F00283,Arjun,I004,weight_loss
F00284,Kushvendra,I002,maintenance
F00285,Aditi,I001,muscle_gain
F00286,Aarav,I002,weight_loss
F00287,Sneha,I003,muscle_gain
F00288,Maya,I005,muscle_gain
F00289,Vivaan,I003,weight_loss
F00290,Ishaan,I002,muscle_gain
F00291,Varun,I003,weight_loss
F00292,Manthan,I001,muscle_gain
F00293,Kavya,I003,weight_loss
F00294,Maya,I002,maintenance
F00295,Ananya,I002,maintenance
F00296,Ishaan,I005,maintenance
F00297,Sam,I005,muscle_gain
F00298,Aarav,I002,muscle_gain
F00299,Kavya,I001,muscle_gain
F00300,Saanvi,I001,weight_loss
F00301,Maya,I001,muscle_gain
F00302,Sneha,I001,maintenance
F00303,Aditi,I002,weight_loss
F00304,Kushvendra,I002,weight_loss
F00305,Sneha,I004,maintenance
F00306,Ananya,I004,muscle_gain
F00307,Manthan,I003,muscle_gain
F00308,Rohit,I004,weight_loss
F00309,Rohit,I002,muscle_gain
F00310,Manthan,I004,weight_loss
F00311,Kushvendra,I003,muscle_gain
F00312,Aditi,I001,muscle_gain
F00313,Rohit,I001,weight_loss
F00314,Ayush,I004,muscle_gain
F00315,Aditya,I003,maintenance
F00316,Ananya,I005,weight_loss
F00317,Sam,I002,maintenance
F00318,Kavya,I002,muscle_gain
F00319,Ishaan,I002,weight_loss
F00320,Manthan,I001,maintenance
F00321,Aditya,I002,muscle_gain
F00322,Ananya,I002,maintenance
F00323,Ishaan,I004,weight_loss
F00324,Sneha,I005,maintenance
F00325,Aditi,I005,maintenance
F00326,Kushvendra,I005,weight_loss
F00327,Pranav,I004,muscle_gain
F00328,Saanvi,I002,maintenance
F00329,Sam,I001,weight_loss
F00330,Maya,I005,weight_loss
F00331,Ananya,I004,weight_loss
F00332,Maya,I001,weight_loss
F00333,Rohit,I003,maintenance
F00334,Ananya,I005,maintenance
F00335,Manthan,I003,muscle_gain
F00336,Vivaan,I003,weight_loss
F00337,Vivaan,I001,muscle_gain
F00338,Riya,I002,weight_loss
F00339,Ayush,I003,maintenance
F00340,Vivaan,I001,weight_loss
F00341,Kavya,I003,weight_loss
F00342,Ayush,I003,weight_loss
F00343,Ayush,I003,muscle_gain
F00344,Kavya,I002,weight_loss
F00345,Sam,I004,maintenance
F00346,Vivaan,I003,weight_loss
F00347,Riya,I001,maintenance
F00348,Ishaan,I004,maintenance
F00349,Arjun,I002,muscle_gain
F00350,Ayush,I005,weight_loss
F00351,Kushvendra,I002,muscle_gain
F00352,Varun,I001,maintenance
F00353,Varun,I004,maintenance
F00354,Kushvendra,I004,weight_loss
F00355,Ishaan,I005,weight_loss
F00356,Saanvi,I005,muscle_gain
