studentID,name,skillLevel
S00001,Sam,6
S00002,Sam,4
S00003,Ayush,1
S00004,Aditya,10
S00005,Pranav,2
S00006,Arjun,8
S00007,Aarav,7
S00008,Ayush,2
S00009,Aditi,6
S00010,Ananya,7
S00011,Ishaan,9
S00012,Sneha,9
S00013,Ishaan,8
S00014,Arjun,1
S00015,Arjun,1
S00016,Ananya,4
S00017,Aditi,9
S00018,Aditya,2
S00019,Riya,1
S00020,Sam,10
S00021,Neha,7
S00022,Sneha,7
S00023,Ananya,8
S00024,Riya,1
S00025,Saanvi,8
S00026,Ananya,5
S00027,Kavya,9
S00028,Ananya,7
S00029,Manthan,7
S00030,Sneha,1
S00031,Rohit,2
S00032,Sam,1
S00033,Manthan,7
S00034,Kushvendra,8
S00035,Pranav,4
S00036,Sam,7
S00037,Sneha,8
S00038,Ishaan,6
S00039,Kavya,7
S00040,Rohit,4
S00041,Maya,4
S00042,Vivaan,7
S00043,Kavya,10
S00044,Aarav,10
S00045,Kushvendra,5
S00046,Neha,9
S00047,Aditi,8
S00048,Ananya,1
S00049,Manthan,9
S00050,Varun,7
S00051,Aditi,2
S00052,Ishaan,3
S00053,Kushvendra,4
S00054,Aditya,3
S00055,Sam,3
S00056,Neha,7
S00057,Arjun,6
S00058,Kavya,8
S00059,Varun,1
S00060,Ishaan,10
S00061,Kushvendra,9
S00062,Ishaan,5
S00063,Aarav,2
S00064,Pranav,7
S00065,Aditya,6
S00066,Maya,8
S00067,Aarav,1
S00068,Aarav,2
S00069,Sam,1
S00070,Ishaan,8
S00071,Saanvi,9
S00072,Varun,6
S00073,Kavya,7
S00074,Rohit,4
S00075,Pranav,8
S00076,Pranav,4
S00077,Ayush,10
S00078,Ananya,10
S00079,Ishaan,9
S00080,Maya,5
S00081,Aditya,4
S00082,Aditya,10
S00083,Varun,6
S00084,Sam,7
S00085,Sneha,2
S00086,Varun,4
S00087,Arjun,2
S00088,Saanvi,1
S00089,Manthan,5
S00090,Arjun,9
S00091,Kavya,3
S00092,Manthan,2
S00093,Aditya,2
S00094,Sam,1
S00095,Saanvi,6
S00096,Maya,5
S00097,Aarav,10
S00098,Pranav,3
S00099,Sam,5
S00100,Vivaan,3
S00101,Kushvendra,10
S00102,Rohit,10
S00103,Maya,10
S00104,Ishaan,4
S00105,Arjun,4
S00106,Aditi,9
S00107,Rohit,7
S00108,Rohit,7
S00109,Neha,1
S00110,Ayush,3
S00111,Varun,10
S00112,Kushvendra,2
S00113,Saanvi,5
S00114,Aarav,4
S00115,Sam,10
S00116,Sneha,9
S00117,Saanvi,9
S00118,Rohit,5
S00119,Pranav,4
